,url,comments,cnt
244,/setting/quit/confirm,탈퇴 전 확인,1484
245,/my/sku/detail,,2
246,/search#popup-service-1,,158
247,/etc/customer/center#popup-service-3,,1
248,/gift/list#popup-service-1,,206
249,/setting/view,메인,65027
250,/cart/view#popup-service-9,,1
251,/my/subscribe#popup-service-15,,1
252,/cart/view#popup-service-2,,91
253,/my/sku/detail/dlv,구독중인 SKU 상세,175
254,/nfo,,1
255,/recent-product/list#popup-service-3,,1
256,/my#popup-service-8,,2
257,/my/subscribe#popup-service-7,,2
258,/#,,9
259,/my/unsubscribe/info,해지안내,205879
260,/my/google/ytp/connect,,94986
261,/newssp/my/sku/detail/vou,,3
262,/web/product,,1
263,/search#popup-service-2,,1
264,/gift/detail/receive,받은 선물 상세,426
265,/my/terms/product/expulsion,상품 중단/퇴출,5404
266,/product/detail,상품 상세,1739854
